sound	sound spelling	word	Pronunciation (IPA)	translation	example in English	ejemplo en español
aɪ	I	I	aɪ	yo	I went by the store to buy fish	Pasé por la tienda a comprar pescado
aɪ	ye	bye	baɪ	adiós	Bye! I'm going by the store to buy fish	¡Adiós! Voy por la tienda a comprar pescado
aɪ	y	buy	baɪ	comprar	I'll go by the store to buy fish	Pasaré por la tienda a comprar pescado
aɪ	y	by	baɪ	por, al lado de	I'll go by the store to buy fish	Pasaré por la tienda a comprar pescado
eɪ	a_e	babe	beɪb	nena, chica muy guapa	My wife is a babe	mi esposa es una nena
eɪ	a	baby	beɪbi	bebé	Our baby is so cute	Nuestra bebe es tan linda
i	y	baby	beɪbi	bebé	Our baby is so cute	Nuestra bebe es tan linda
i	ee	bee	bi	abeja	Bees buzz	Las abejas zumban
i	ea	beat	bit	batir, vencer, derrotar, ritmo, golpear	I beat the eggs with a fork	Bato los huevos con un tenedor
i	ee	beet	bit	remolacha	I eat beets	Como remolachas
ɛ	e	bed	bɛd	cama	I lay my head on the bed	recosto mi cabeza en la cama
ɪ	*ee	been	bɪn	sido, estado	I have been sick	He estado enfermo
eɪ	a	a	eɪ	un, una	Take your car to a gas station	Lleva tu carro a una gasolinera
i	ee	feet	fit	ajustar, adaptar, caber, en forma	My feet fit in my shoes	Mis pies caben en mis zapatos
i	ea	feat	fit	logro	Winning a gold medal is a great feat	Ganando el premio oro es un gran logro
aɪ	y	fly	flaɪ	volar, mosca	Watch the fly fly high	Mira la mosca volar alto
o	o	fork	foɹk	tenedor	I beat the eggs with a fork	Bato los huevos con un tenedor
u	oo	food	fud	comida	The scriptures are food for the soul	Las Escrituras son alimento para el alma
ɪ	i	fit	fɪt	ajustar, adaptar, caber, en forma	My feet fit in my shoes	Mis pies caben en mis zapatos
ʊ	oo	foot	fʊt	pie	I stand on one foot	Estoy parado en un pie
i	ee	green	gɹin	verde	The green grass grows	La hierba verde crece
ʊ	oo	good	gʊd	bien	God is good	Dios es bueno
aɪ	igh	high	haɪ	alto (de altitud)	Watch the fly fly high	Mira la mosca volar alto
aɪ	i	hi	haɪ	hola (informal)	Hi! How are you?	¡Hola! ¿Como estás?
ɛ	ea	head	hɛd	cabeza	I lay my head on the bed	recosto mi cabeza en la cama
i	ea	eat	it	comer	I eat beets	Como remolachas
æ	a	bat	kæt	gato	My cat sat on a bat	Mi gato se sentó en un murciélago
æ	a	cat	kæt	gato	My cat sat on a bat	Mi gato se sentó en un murciélago
eɪ	ai	paint	peɪnt	pintar	I painted the gate in the fence	Pinté la puerta en la cerca
i	ee	see	si	ver,mirar	See the bee cross the street!	¡Mira la abeja cruzar la calle!
i	ea	seat	sit	asiento, silla, sede	Please have a seat	Por favor, tome asiento
oʊ	ou	soul	soʊl	alma	The scriptures are food for the soul	Las Escrituras son alimento para el alma
ɔ	o_e	store	stɔɹ	tienda	I went by the store to buy fish	Pasé por la tienda a comprar pescado
i	ee	street	stɹit	calle	See the bee cross the street!	¡Mira la abeja cruzar la calle!
i	ee	sweet	stɹit	calle	See the bee cross the street!	¡Mira la abeja cruzar la calle!
ɛ	e	set	sɛt	poner	I set the table	Puse la mesa
ɪ	i	sit	sɪt	sentarse	Please sit down	Por favor, sientase
aɪ	i	time	taɪm	tiempo	What time is it?	¿Qué hora es?
u	o	to	tu	(indica infinitivo)	I would like two sandwiches if it's not too much to ask	Me gustaría dos sándwiches si no es demasiado pedir
u	oo	too	tu	demasiado,tambien	I would like two sandwiches if it's not too much to ask	Me gustaría dos sándwiches si no es demasiado pedir
u	o	two	tu	dos	I would like two sandwiches if it's not too much to ask	Me gustaría dos sándwiches si no es demasiado pedir
eɪ	a_e	gate	ɡeɪt	puerta (de una cerca)	I painted the gate in the fence	Pinté la puerta en la cerca
ɑ	o	God	ɡɑd	Dios	God is good	Dios es bueno
ɪ	i	it	ɪt	(alguna cosa)lo, le, la, él, ello, ella, aquél, aquélla	Please give it to me	Por favor, damelo
ɛ	e	red	ɹɛd	rojo	I wear a red tie	Me llevo una corbata roja
i	ee	sheep	ʃip	oveja, ovejas	The shepherd tends his sheep	El pastor cuida a sus ovejas
i	ee	sheet	ʃit	hoja(de papel), sábana	Please hand me that sheet of paper	Por favor, dame aquel hoja de papel
ɪ	i	ship	ʃɪp	barco, navio	I traveled by ship	Viajé en barco
